A13,A14,A15,A16,A17,A18,A19,A20,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A1,A2,A6,A3,A4,A5,A7,A9,A10,A11,A12,A32,A33,A34,A35,A8,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,Bankrupt?
5437914,551511,2366182,2917693,2520221,1565633,1629448,1662711,518877,-128932,389945,-79853,310092,-31397,-50082,278695,-94342,184353,5437914,1380872,4057042,1690,727478,16195,30326,518567,0,0,859908,140265,15241,-20414,3298838,2489895,2.503797748,2.474432967,0.003064309,6.191685636,0.536546367,0.893003641,0.863771822,1.171813671,1.863771822,0.526825079,0.779290103,1.01217963,0.399393282,0.751517219,1.402023986,0.041531498,7.054909578,0.233779562,0.316577525,1.329846517,0.288656431,0.035035773,0.058932119,0.133504771,0.355504689,0.073149537,1.682055622,0.248482781,68.07181663,15.38958173,9.65199845,48076,0.760850108,0.270324181,2.665697173,1.939243409,2.401463776,1.062483091,0.589018476,2.093061506,0.069237465,1.173800195,1.251969754,2.234100248,2.829748576,0.467052194,0.055884223,-0.465867375,0.014573617,0
63037,7845,1675,9520,53517,40550,12242,1675,5416,-2451,2965,-2141,824,153,-21,977,-314,663,63037,24367,38670,611,19416,0,100,17899,-15384,0,0,-4257,4910,-92,0,53417,3.106054812,3.106054812,0.077884003,39.23809524,0.151022415,0.873962911,5.621533613,0.178220417,6.621533613,0.796815365,1.303246704,1.001872063,0.32195182,0.547451994,3.58493353,0,0,0.312428298,0.124292601,6.036762226,0.362800605,0.010187305,0.012661145,0.02720893,0.037041175,0.012388587,1.242835596,0.452548006,90.97119645,39.5310192,0.38774003,10380,-6.42081448,-0.786004431,6.541079578,1.396597075,1.193331024,6.392553191,0.105704698,1.946100492,-0.060901304,2.205971934,2.25,-10.15555556,0.420019157,0.12109375,0,0,0,0
10382,39610,353686,393296,-382914,22809,0,14,190,0,190,-121,69,-124,-115,-55,12,-43,10382,657,9725,0,535,0,142,0,0,0,0,-1,0,0,243750,-383056,0.016586721,0.016586721,0,0.6,37.88248892,-2.828934695,-0.973602579,-1.026732384,0.026397421,0.814307458,-16.79407252,0.999629297,60.2891933,1,2.815789474,0,0,0,0.339285714,0,0.001397181,0.004245865,0.006813133,-0.065449011,0,0.000112297,-1.604651163,0,117.8947368,63.68421053,60.52631579,-59,0.023255814,-0.005263158,0.009874105,0.021611921,1,3.514688873,-0.27607362,2.036803049,0.051554745,-0.565590776,-1.434343434,-0.698689956,-0.408099688,0.315217391,-0.00017641,-1.610826667,-0.000242051,0
10534422,3094315,2014155,5108470,5425952,3795901,826979,92630,468906,-270078,198828,217376,416204,499844,-65910,916048,-97997,818051,10534422,4569456,5964966,1550216,576753,1316627,537995,1746541,0,0,1603359,40567,-371242,1036136,785417914,4887957,1.47672619,1.051227493,0.500988426,6.314732211,0.484931209,0.65519608,1.062148158,1.045113531,2.062148158,0.126219182,1.057340229,1.110065412,0.677173607,0.424025284,1.229997057,6.621939566,0.241953885,0.087281999,0.045819723,8.784180297,0.106295264,0.082588973,0.042019215,0.179025906,0.468383508,0.150766354,0.508775125,0.575974716,46.19454645,46.35811868,14.05612212,-626082,0.049589818,0.086514141,0.40955721,4.273136297,1.085730207,-3.366209015,-0.927583676,2.189725473,0.135694536,2.065168704,2.545382838,0.232364506,-0.820982602,-0.966754896,0.001041549,-0.000686277,-0.000797132,0
1007052,579405,795614,1375019,-367967,520401,-31116,102876,265829,-139979,125850,-29651,96199,-55186,-90730,41013,-1978,39035,1007052,357776,649276,6013,139094,180279,17484,103836,0,0,428516,107544,-30678,-78229,59086304,-385451,0.617488631,0.306343577,0.010377888,1.060277747,1.365390268,0.407290785,-0.267608666,-3.567299086,0.732391334,0.388773981,-0.787784216,0.954640149,1.619463016,0.473424645,0.523246147,1.432491061,0.827749131,0.241590942,0.369194754,0.825077473,0.378006723,0.041076675,0.101230564,0.109104579,0.37592935,0.106082882,2.464429358,0.526575355,98.68674975,11.15416301,34.13096389,176395,2.755065966,0.404560827,11.31689495,-1.16679351,2.10292891,-0.168275499,0.821986158,2.132908679,0.127036283,-0.259287282,-0.105255919,0.883890804,1.315376973,0.508184186,0.000660644,-0.017216223,0.002985379,0
1593749,420366,803612,1223978,369771,161895,50636,20217,240567,-162946,77621,-37367,40254,-17448,-23809,22806,-7508,15298,1593749,502042,1091707,107590,179119,80750,142260,632418,0,0,156631,79951,-366,-50313,85725289,227511,1.19429735,1.002202842,0.25594363,1.690705196,0.767986678,0.646979543,0.30210592,5.379862952,1.30210592,0.356780907,1.070483835,1.625288448,0.837312416,0.322658553,0.74457012,1.040311256,2.069011053,0.387628876,0.155004688,8.147511627,0.484405213,0.009578053,0.025202965,0.030471554,0.024189697,0.041371552,2.631324356,0.677341447,96.28502662,15.53288689,9.897034922,47692,5.226238724,0.332344004,5.005719409,2.441895954,3.314666859,-26.67582108,-0.014675108,2.013480137,-0.004303287,0.090040446,-2.197870175,0.55799822,0.273101525,0.019830158,0.000178454,-0.008421506,0.000556335,0
7156477,1049559,2244948,3294507,3861970,1635145,734175,1767956,732810,-512734,220076,673388,893464,525964,-18656,1419428,-127152,1292276,7156477,967655,6188822,258045,380908,90379,2408587,112254,0,0,762,443594,-250536,-27994,0,1453383,0.921963415,0.83585201,0.245860404,47.89150943,0.460353188,0.516780952,1.172245195,2.266785149,2.172245195,0.393640295,0.613417774,2.657227998,1.084641737,0.300317954,0.519790942,0.410671768,5.545618257,0.488523275,0.258213941,0.510069249,0.098630492,0.204740424,0.141555053,1.335471837,11.51207084,0.334615753,0.691387908,0.699682046,2.025900302,91.89121327,2.545816787,-444894,0.34326568,0.605332897,7.02803608,2.943924675,0.441814051,122.6399286,-1.245931253,2.516927459,0.309013151,6.862713504,11.65076848,7.331909656,0.041972246,-1.285861719,0,0,0,0
23251,182,649,831,22420,78246,132,724,0,0,0,-14161,-14161,1677,-4177,-12484,0,-12484,23251,12097,11154,3038,0,0,0,230,0,0,10924,-3410,3057,0,317644,22420,66.46703297,66.46703297,16.69230769,-3.390232224,0.035740398,0.99217238,26.97954272,0.03706512,27.97954272,0,0.286049657,1,0.015045052,0,0,0,0,0,0,0,0,0.413699402,-0.469272447,-1.031991403,-54.27826087,0.556824264,1.134331945,0,0,0,0,9074,0.273149632,0,11.30018392,0.914251886,0,0,-31.56333333,1.347278258,-0.373322193,26.96459585,-18.96258993,-24.60166667,0,-24.60166667,-0.03930186,0.035467379,0.028566571,0
2839772,1608435,10641,1619076,1220696,800000,311844,10641,97266,-33296,63970,-17072,46898,24198,-191,71096,-24510,46586,2839772,2755508,84264,562983,2147775,0,2038,65234,0,0,4635,188888,-20427,0,0,1218658,1.71316093,1.71316093,0.350019118,245.539267,0.570142955,0.432886513,0.753946078,1.328572906,1.753946078,0.779447928,1.096069233,1.001672331,0.583716324,0.657680998,22.08145704,0,0,0.020700868,0.022299218,1.019759262,1.75946755,0.015809037,0.015914915,0.016906501,0.7141368,0.038163474,1.006697291,0.342319002,77.17907594,17.55186807,0.196368721,76937,4.054608681,1.941973557,6.40994599,3.526686019,1.212639274,1.678092518,-0.096095398,1.924493838,-0.07009158,-0.380956417,-0.318718924,-0.269979141,-0.230315719,-0.097816547,0,0,0,0
773,5,6470,6475,-5702,23550,0,0,0,0,0,-44,-44,0,0,-44,0,-44,773,0,773,0,0,0,2,0,0,0,771,-124,0,124,35693,-5704,0,0,0,0,8.376455369,0.990944373,-0.880617761,-1.135168303,0.119382239,0,-0.242208068,0.999649369,0,0,0,0,0,0,0,0,0,0.056921087,-0.056921087,0,0,0.007716591,1,0,0,0,0,1,2.818181818,0,16.04139715,-0.135566468,0,0,-0.153846154,2.00536193,0,-0.172395651,-0.153846154,-0.153846154,0,-0.153846154,-0.001232735,-0.181408119,2.80E-05,0
122226,40242,3738,43980,78246,30000,46022,2172,42536,-33017,9519,-7290,2229,85,-296,2314,-24,2290,122226,63066,59160,8908,18031,11764,34,44953,0,0,0,6758,-5299,-4525,1508636,78212,1.56716863,1.274837235,0.221360767,7.530405405,0.359825242,0.670479276,1.779126876,0.562317803,2.779126876,0.285906828,1.02880745,1.000434716,0.638093426,0.22378691,0.423899756,1.235844101,3.058262319,0.82046121,0.146550994,4.722449837,0.230439895,0.018822176,0.018320799,0.036311166,0.050942095,0.029266672,0.973362445,0.77621309,95.51203686,17.13842392,0.695881136,255,2.951091703,0.158877186,5.554596638,1.621641089,3.936525283,9.240709643,0.014288926,1.995093103,0.009264764,-0.478441157,-0.431197218,-0.536494074,-0.18368922,0.012509734,0.001517927,0.012651163,0.000169027,0
502695,55001,146984,201985,300710,263985,10661,20803,66289,-51372,14917,1153,16070,59,-724,16129,-1113,15016,502695,313810,188885,247320,23650,17341,0,0,0,0,155485,-42331,24887,94807,0,300710,5.705532627,5.39024745,4.496645516,22.1961326,0.401804275,0.890587732,1.488773919,0.671693658,2.488773919,0.075364074,1.094900344,1,0.175268475,0.225029794,0.356771108,1.162499162,1.772181592,0.934019381,0.054773143,0,0.078647202,0.032679248,0.034973063,0.04785061,0,0.049935153,1.070191795,0.774970206,78.52886603,1.739353437,1.092187241,-68395,-2.81905967,-0.63858257,9.212474959,1.677831177,1.389157131,1.223081602,-0.503745556,2.084058512,0.207536428,-0.72286121,-0.696560643,-0.689971833,-0.791142785,-0.508389459,0,0,0,0
