Bankrupt?,"Operating revenue (Turnover)
th GBP Last avail. yr","Number of employees
Last avail. yr","Operating Profit
th GBP Last avail. yr","EBITDA
th GBP Last avail. yr","Cash In(Out)flow Operat. Activ.
th GBP Last avail. yr","Total Other Current Liabilities
th GBP Last avail. yr","Current Liabilities
th GBP Last avail. yr","Working Capital
th GBP Last avail. yr","Long Term Debt
th GBP Last avail. yr","Tangible Assets
th GBP Last avail. yr","Fixed Assets
th GBP Last avail. yr","Current Assets
th GBP Last avail. yr","Net Assets Turnover (x)
Last avail. yr","Fixed Assets Turnover (x)
Last avail. yr","Interest Cover (x)
Last avail. yr","Stock Turnover (x)
Last avail. yr","Debtors Turnover (x)
Last avail. yr","Debtor Collection
Last avail. yr","Creditors Payment
Last avail. yr","Return on Shareholders Funds
Last avail. yr","Return on Capital Employed
Last avail. yr","Return on Total Assets
Last avail. yr","Profit margin
Last avail. yr","Gross margin
Last avail. yr","EBIT margin
Last avail. yr","EBITDA margin
Last avail. yr","Current ratio (x)
Last avail. yr","Liquidity ratio (x)
Last avail. yr","Shareholders liquidity ratio (x)
Last avail. yr","Solvency ratio (Asset based)
Last avail. yr","Asset Cover (x)
Last avail. yr","Gearing
Last avail. yr","Profit per employee (unit)
GBP Last avail. yr","Turnover per employee (unit)
GBP Last avail. yr","Salaries/ Turnover
Last avail. yr","Average Remuneration per employee
GBP Last avail. yr","Shareholders Funds per employee
GBP Last avail. yr","Working Capital per employee
GBP Last avail. yr","Total Assets per employee
GBP Last avail. yr"
1,220928,297,46847,52923,-112171,-54328,-80940,325717,-196927,1958,28470,397118,0.641025046,7.7600281,4.618653258,0.637589645,37.93406593,9.621958285,43.96626955,24.84700785,10.64970637,8.624303317,16.61355736,36.7726137,21.20464586,23.95486312,4.906325673,0.625315048,0.750125681,34.70962527,2.161146008,133.3109938,123582.4916,743865.3199,7.477096611,55619.52862,,,1432956.229
1,329920,2728,-6938,22460,-17257,-56613,-347567,-4178,-46529,331378,350509,198880,1.089805208,0.627506474,-0.167541853,100.3864293,24.18856996,15.08977176,25.65908402,-22.68006878,-14.83584545,-5.450054515,-13.61330019,4.531704656,-2.102934045,6.80771096,0.572206222,0.565902402,1.891308396,24.03014986,11.80745342,261.5494739,-10975.80645,80625.61095,24.80965082,20002.93255,48394.06158,-1531.524927,201388.9296
1,215278,17428,-9125,-1193,3787,-43428,-52917,27928,-7454,12887,29813,43378,10.61842754,7.220943884,-4.431762992,,6.778274559,53.84851216,6.497087487,-98.63303642,-55.16424978,-15.28056728,-5.195143024,12.83363837,-4.238705302,-0.55416717,0.819736569,0.819736569,1.269054281,15.49234196,9.819023343,128.6797778,-641.7259582,12352.42139,81.23960646,10035.05853,650.6196924,1602.47877,4199.621299
1,206847,1651,-6798,-3369,2297,-27887,-57937,4302,-102,20822,20822,56826,10.49398813,9.934060129,-17.325,10.98147165,40.2582717,9.06645975,34.71300043,-53.00838878,-18.59367866,-4.720018545,-1.771841023,7.094615827,-3.286487114,-1.628740083,0.980823998,0.655712239,0.540282879,8.904286009,761.254902,335.1894706,-2219.866747,125285.8873,17.87408084,22393.70079,4187.764991,2605.693519,47030.89037
1,201616,2141,-51213,21010,12182,-35861,-36041,23452,-166505,29249,119831,55354,1.448973725,1.682502858,-3.527507628,80.97028112,9.618166206,37.9490219,,,-68.25231415,-54.21069156,-47.10390048,32.68093802,-25.40125784,10.42079994,1.535861935,1.466773952,-0.401860481,-53.36301624,1.052130567,,-44357.30967,94169.07987,42.51894691,40039.70107,,10953.75993,81823.91406
1,197487,1429,-23306,17432,1319,-26783,-53704,49593,-95706,36659,306510,81994,0.589865591,0.644308505,-2.91966759,8.946183465,4.363100104,83.65611407,32.79671573,-13.34396393,-9.298088411,-8.012787513,-15.76306289,21.89713753,-11.80128312,8.826910126,1.526776404,1.115726948,2.298164731,60.04803039,4.059348421,47.44630051,-21784.46466,138199.4402,38.06984764,52612.31631,163253.324,34704.68859,271871.2386
1,186014,1951,8102,13132,10476,-17161,-39581,1966,-604,17132,24850,46384,5.87666256,7.485472837,52.61290323,7.797040701,,0.288446031,43.24335803,28.00924305,25.27406565,11.23059213,4.300751556,22.34347952,4.355586139,7.05968368,1.171875395,0.569136707,9.240375283,40.09602156,117.9370861,12.15951264,4100.461302,95342.90108,21.90964121,20889.28754,14639.67196,1007.688365,36511.53255
1,180763,1450,13625,32643,14365,-49055,-63480,-5,-184051,300053,372916,58256,0.491615265,0.484728464,0.54322545,21.96391252,112.5547945,3.242864967,19.8711296,-11.02904083,-3.151278788,-2.687326635,-6.410050729,16.20464365,7.537493846,18.05845223,0.917706364,0.788059231,0.400023607,24.3659143,2.342676758,254.3494608,-7991.034483,124664.1379,16.01101995,19960,72454.48276,-3.448275862,297360
1,175874,529,3943,5369,2931,-7640,-57425,-9475,-3598,12110,37460,20654,255.2597968,4.694981313,10.4141252,16.00892044,33.14000377,11.01387925,53.47760328,,851.233672,10.09223251,3.334773758,19.92904011,2.241945939,3.052753676,0.359669134,0.168358729,-0.91597561,-12.92459648,16.15175097,,11086.95652,332465.0284,6.190227094,20580.34026,,-17911.15312,109856.3327
1,171159,1033,-1994,529,-1316,-10565,-53926,-830,-505,3126,17348,34923,,9.866209361,-2.988170347,72.64813243,8.469025235,43.0982303,49.89243919,,305.5589124,-9.674580551,-2.954562717,34.56376819,-1.164998627,0.309069345,0.647609687,0.603920187,-1.471375676,-9.883109181,103.5069307,,-4895.450145,165691.1907,23.41156469,38790.90029,,-803.4849952,50601.16167
1,167366,2285,12224,24504,12192,-68274,-102494,54902,-133133,9385,371339,113933,0.437240385,0.45070946,-1.31043257,6.981146242,3.055183366,119.4690977,52.01979494,-6.094286942,-3.558198225,-2.806673371,-8.137853566,62.83594039,7.303753451,14.64096651,1.111606533,0.877700158,1.403025928,46.05417168,3.645016637,75.91324814,-5960.612691,73245.51422,39.68249226,29065.64551,97806.56455,24027.13348,212372.8665
